ticker,company,ingested_at,trailing_pe,forward_pe,price_to_book,enterprise_to_ebitda,profit_margin,operating_margin,gross_margin,return_on_equity,return_on_assets,revenue_growth,earnings_growth,debt_to_equity,current_ratio,free_cashflow,total_revenue,total_debt,eps_trailing,eps_forward,book_value,market_cap,52w_high,52w_low,dividend_yield
MARUTI.NS,Maruti Suzuki,2026-03-18T06:14:24.616284,27.648596,22.769764,4.1377435,20.516,0.08693,0.07692,0.27464,,,0.287,0.041,0.1,,,1717736046592,999000000,474.78,576.51013,3172.502,4127162368000,17370.0,11059.45,1.04
TMPV.NS,Tata Motors,2026-03-18T06:14:25.488481,30.714958,7.9702053,1.0859443,6.754,0.21158001,-0.036530003,0.4382,,,-0.383,,56.134,,,4021130100736,672579977216,10.63,40.96507,300.66,1202296193024,419.0,306.9,1.88
M&M.NS,Mahindra & Mahindra,2026-03-18T06:14:26.388398,23.080223,22.132584,4.3504395,13.2,0.08326,0.16723,0.38946,,,0.264,0.468,132.29,,,1888898121728,1297657364480,139.86,145.84831,741.994,3875126378496,3839.9,2425.0,0.81
BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.219953,29.024343,23.27247,7.540546,18.347,0.15052,0.24317,0.34529,,,0.231,0.25,57.257,,,590238384128,195646095360,317.94,396.52,1223.784,2576942366720,10187.0,7089.35,2.31
HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.141244,20.130133,18.52178,5.2167587,15.198,0.12258001,0.13035,0.33598,,,0.217,0.144,3.395,,,444027699200,7180700160,272.03,295.65192,1049.694,1095691599872,6388.5,3344.0,3.27
